Supplier ID,Shape,Weight,Color,Clarity,Total Price,Lot Number,Stock Number,Lab,Cert #,Certificate Image,2nd Image,Dimension,Depth %,Table %,Crown Angle,Crown %,Pavilion Angle,Pavilion %,Girdle Thinnest,Girdle Thickest,Girdle %,Culet Size,Culet Condition,Polish,Symmetry,Fluor Color,Fluor Intensity,Enhancements,Remarks,Availability,Is Active,FC-Main Body,FC- Intensity,FC- Overtone,Matched Pair,Separable,Matching Stock #,Pavilion,Syndication,Cut Grade,External Url,Lab Grown/Natural
89782,Oval,1.70,F,VS2,13464.00,,A1069724,GIA,6521660960,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33597559140&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33606541466&PhysicalType=MAIN,10.3|6.71|3.98,59.30,62.00,,,,,Medium,Slightly Thick,,None,,Excellent,Excellent,,Faint,,"VS2++; 100% I CLN; No Blk; HUGE HUGE LOOK Like 2.15cts; YOUR LUCKY TO SEE THIS MAKE; AMAZING STONE!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=670710,NATURAL
89782,Radiant,4.22,E,SI1,69334.60,,A1078602,GIA,2235375298,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32414894581&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32417390497&PhysicalType=MAIN,11.15|7.94|5.51,69.50,68.00,,,,,Very Thick,,,None,,Excellent,Excellent,Blue,Medium,,"FloNoSho; SI1+++; 100% I CLN; Tbl Cln; No Blk; Amazing Stone!",Guaranteed Available,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=661230,NATURAL
89782,Oval,2.02,J,SI2,9544.50,,A1079302,GIA,5503022881,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32414894582&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32417390498&PhysicalType=MAIN,10.34|7.07|4.4,62.20,58.00,,,,,Medium,Thick,,None,,Excellent,Excellent,,None,,"SI2+; J+; Faces Great! 100% I CLN; No Bow-Tie; Amazing Stone!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=628546,NATURAL
89782,Round,1.77,H,SI2,7398.60,,A10827410,GIA,7458805165,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31506402365&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32097808084&PhysicalType=MAIN,7.69|7.72|4.82,62.50,57.00,35.50,15.50,41.00,43.50,Medium,Slightly Thick,,None,,Excellent,Excellent,,None,,"SI2++; 100% I CLN; TBL Mostly CLN; Beautiful Stone!",Guaranteed Available,Y,,,,False,True,,,,Excellent,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=7458805165,NATURAL
89782,Round,3.01,K,SI1,19531.89,,A1118702,GIA,1443396883,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=30575185479&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=30623901276&PhysicalType=MAIN,9.21|9.27|5.73,62.10,56.00,35.50,15.50,40.80,43.00,Medium,Slightly Thick,,None,,Excellent,Excellent,,None,,"SI1+++; Like VS2; Tbl Cln; No Blk; Prongable; REAL H&A; AMAZING STONE!",On Memo,Y,,,,True,True,G94779819,,,Excellent,https://dia-vid.s3.us-east-2.amazonaws.com/Vision360.html?d=A1118702,NATURAL
89782,Round,1.74,I,SI2,6566.76,,A112448,GIA,6452856868,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31584095678&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31915040485&PhysicalType=MAIN,7.62|7.66|4.78,62.50,58.00,36.00,15.50,40.80,43.00,Medium,Slightly Thick,,None,,Excellent,Excellent,,None,,"SI2+; 100% I CLN; Tbl Mostly Cln; Prongable Cld; Almost No Blk; Beautiful Stone!",On Memo,Y,,,,True,True,A0189206,,,Excellent,https://www.filesonsky.com/upload/627155.HTML,NATURAL
89782,Oval,1.00,D,SI2,2730.00,,A112488,GIA,2476720634,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31584095682&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31918039448&PhysicalType=MAIN,8.14|5.37|3.4,63.30,56.00,,,,,Thick,Very Thick,,None,,Excellent,Very Good,,Faint,,"SI2+; No Blk; 100% I CLN; No BT; V. Nice Make",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/upload/627111.HTML,NATURAL
89782,Radiant,2.00,E,VS2,21000.00,,A112638,GIA,6237074490,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31584095697&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31922340391&PhysicalType=MAIN,9.25|6.22|4.21,67.70,67.00,,,,,Slightly Thick,Thick,,None,,Excellent,Excellent,,None,,"100% I CLN; No Blk; No BT; BIG LOOK; LIKE 2.5cts!; Amazing Make!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/upload/627108.HTML,NATURAL
89782,Radiant,2.50,F,SI1,24862.50,,A112678,GIA,6475752899,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31584103451&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31922340394&PhysicalType=MAIN,9.3|6.59|4.58,69.50,64.00,,,,,Thick,Very Thick,,None,,Excellent,Excellent,,Faint,,"SI1++; 100% I CLN; No BT; AMAZING MAKE",Guaranteed Available,Y,,,,False,True,,,,,https://www.filesonsky.com/upload/642560.HTML,NATURAL
89782,Radiant,4.01,G,SI1,69733.90,,A112889625,GIA,6505426316,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32576068042&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32608546725&PhysicalType=MAIN,11.18|7.97|5.44,68.30,68.00,,,,,Very Thick,,,None,,Excellent,Very Good,,None,,"SI1++; 100% I CLN; No Bow-Tie; AMAZING MAKE!- MUST SEE STONE!",Guaranteed Available,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=662635,NATURAL
